"Article" "Mean" "Maximum" "Total (Year)"
"Climate of Ghana" 109 1178 318287
"Climate of Saudi Arabia" 109 523 319361
"Climate movement" 108 742 314471
"Earth rainfall climatology" 108 591 314887
"Special Report on Global Warming of 1.5 °C" 108 1080 316638
"Climate of Romania" 106 456 308552
"Renewable Energy Certificate (United States)" 106 640 308655
"Climate of Indonesia" 105 3581 307383
"Carbon dioxide sensor" 104 596 303978
"Climate of Madrid" 102 3027 298638
"Climate change in South Africa" 99 3246 290129
"Climate of Svalbard" 98 585 287218
"Carbon-dioxide laser" 96 810 279476
"Climate of Lisbon" 96 994 280271
"Climate of Colombia" 95 571 278703
"Electrochemical reduction of carbon dioxide" 93 833 271617
"Climate change in Canada" 92 797 268032
"Politics of climate change" 91 1462 265985
"Life-cycle greenhouse gas emissions of energy sources" 90 1410 263277
"Climate of Rajasthan" 89 374 261234
"Effects of climate change on plant biodiversity" 89 762 259956
"Ozone–oxygen cycle" 89 663 258919
"Vienna Convention for the Protection of the Ozone Layer" 89 591 261077
"Carbon dioxide (data page)" 88 864 258101
"Climate of Ecuador" 88 499 257041
"Climate of the Falkland Islands" 88 396 257116
"United States rainfall climatology" 88 860 256011
"Climate of China" 87 2558 255463
"Abrupt climate change" 86 1330 250894
"List of climate scientists" 86 620 252522
"Climate of Uttar Pradesh" 85 692 248237
"List of U.S. states and territories by carbon dioxide emissions" 84 2506 245999
"Ozone depletion potential" 83 2132 242913
"Public opinion on climate change" 83 387 242589
"Climate of Bihar" 82 1128 239361
"Climate change in Europe" 81 1225 236756
"Climate of Himachal Pradesh" 78 1189 229333
"Extinction risk from climate change" 78 697 227643
"Global warming hiatus" 78 2199 227247
"List of extreme temperatures in Germany" 78 2009 227517
"United States Climate Alliance" 78 1126 228753
"Climate change in the United Kingdom" 77 676 223828
"Solar activity and climate" 77 12934 224958
"Greenhouse gas emissions by China" 76 1475 221969
"Climate of Buenos Aires" 75 600 220527
"Climate of New England" 75 495 219697
"List of extreme temperatures in Spain" 74 1710 216570
"Effects of climate change on oceans" 73 1372 214335
"National Action Plan for Climate Change" 73 1590 214406
"Nuclear power proposed as renewable energy" 73 2065 213619
"Reflective surfaces (climate engineering)" 73 684 212736
"Climate change feedbacks" 72 1274 211247
"Climate of Gujarat" 71 816 207204
"German Renewable Energy Sources Act" 71 814 208507
"Climate change in the Maldives" 70 11178 204585
"Climate change vulnerability" 70 667 204436
"Climate of Rome" 67 454 197119
"Greenhouse gas emissions by Australia" 67 2071 194898
"IPCC Fourth Assessment Report" 67 657 197190
"2017 United Nations Climate Change Conference" 65 1112 189628
"Climate change in New Zealand" 65 941 191159
"Climate of Uruguay" 65 1270 188707
"Greenhouse gas emissions from agriculture" 65 728 190401
"Climate Change Act 2008" 64 1120 187551
"Climate change in Japan" 64 839 186969
"Glossary of climate change" 64 594 185967
"Renewable energy in developing countries" 64 4478 187254
"Climate change and poverty" 63 461 183832
"Climate change in Russia" 63 340 184001
"Climate of Estonia" 63 1010 185536
"List of books about renewable energy" 63 486 184790
"Climate of Nigeria" 62 1126 180435
"Climate of Norway" 62 387 180367
"Climate change in Antarctica" 61 926 177861
"Climate change in the Middle East and North Africa" 61 751 179412
"Media coverage of climate change" 61 518 177279
"Climate change in the Philippines" 60 599 173988
"Climate of France" 60 2561 174846
"Climate of Paris" 60 581 176429
"Climate of Sweden" 60 783 175748
"Climate of Valencia" 60 639 176713
"Greenhouse gas emissions by the United Kingdom" 60 2056 176379
"Ground-level ozone" 60 994 174519
"2019 UN Climate Action Summit" 59 3010 173296
"Causes of climate change" 59 1079 172888
"Climate change scenario" 59 599 170941
"Climate of ancient Rome" 59 473 171552
"Ozone depletion and climate change" 59 586 173688
"Regional Greenhouse Gas Initiative" 59 1042 172502
"Regulation of greenhouse gases under the Clean Air Act" 56 903 164668
"Seawater greenhouse" 56 1120 164229
"CO2 fertilization effect" 55 1375 160779
"List of climate change initiatives" 55 1046 160870
"Climate of Venezuela" 54 249 157165
"2010 United Nations Climate Change Conference" 53 949 153966
"Renewable energy industry" 53 353 154493
"Climate categories in viticulture" 52 599 151037
"Climate change in Turkey" 52 2700 151367
"Climate of Zambia" 52 260 153057
"List of extreme temperatures in Italy" 52 2537 152192
"North African climate cycles" 52 12558 151845
"Climate risk" 51 517 150261
"Department for Energy Security and Net Zero" 51 899 148119
"Global Warming Solutions Act of 2006" 51 594 149065
"Climate Vulnerable Forum" 50 973 146230
"Renewable energy debate" 50 966 145576
"Climate-smart agriculture" 49 404 144209
"Climatic regions of Argentina" 49 663 144094
"2016 United Nations Climate Change Conference" 48 808 141621
"Carbon dioxide cleaning" 48 2764 140341
"Climate change and gender" 48 535 140330
"Climate of Myanmar" 48 271 140439
"Climate of Serbia" 48 294 138799
"ExxonMobil climate change denial" 48 2166 139405
"Impact of the Music of the Spheres World Tour" 48 10437 139361
"National Climatic Data Center" 47 1446 137341
"Climate change in Sweden" 46 395 133778
"Climate change in the Caribbean" 46 224 133874
"Climate of Azerbaijan" 46 605 133061
"Climate of Budapest" 46 367 134543
"World Climate Conference" 46 3465 133064
"Climate of Albania" 45 276 130827
"Office of Energy Efficiency and Renewable Energy" 45 533 131779
"Climate change in South Korea" 44 360 128384
"Climate of Hungary" 44 274 127925
"Net-zero emissions" 44 939 127211
"Potsdam Institute for Climate Impact Research" 44 1166 127577
"2025 in climate change" 43 1994 125835
"List of extreme temperatures in Sweden" 43 790 125909
"2021 in climate change" 42 744 121743
"Climate security" 42 809 123684
"Climate 200" 41 9496 118668
"Copper in renewable energy" 41 636 119136
"List of extreme temperatures in France" 41 5081 119461
"Climate change litigation" 40 1334 117128
"The Great Derangement: Climate Change and the Unthinkable" 40 378 117333
"Climate change in France" 39 1418 115071
"Effects of climate change on the water cycle" 39 422 115382
"2012 United Nations Climate Change Conference" 38 1065 110954
"Chicago Climate Exchange" 38 507 111142
"Climate Action Network" 38 607 112303
"Climate change in Nigeria" 38 455 109813
"Climate of Sochi" 38 496 111771
"Economic analysis of climate change" 38 1728 109958
"IPCC Third Assessment Report" 38 677 111443
"2011 United Nations Climate Change Conference" 37 1525 108522
"2024 in climate change" 37 920 106727
"Climate of Paraguay" 37 134 109121
"Greenhouse gas inventory" 37 705 107140
"Last Interglacial" 37 2126 107702
"List of extreme temperatures in Japan" 37 1683 109169
"Antarctic sea ice" 36 383 106049
"Business action on climate change" 36 975 105993
"Climate of Ethiopia" 36 295 104702
"Climate of Istanbul" 36 483 106108
"Climate of the British Isles" 36 681 105685
"Effects of climate change on small island countries" 36 347 103935
"High-ozone shock treatment" 36 265 105228
"Historical climatology" 36 276 104334
"History of climate change policy and politics" 36 901 105059
"Climate change and fisheries" 35 245 103435
"Climate change in Brazil" 35 2128 102852
"Climate change in Germany" 35 167 103201
"Climate change in Indonesia" 35 446 102284
"Climate of Agra" 35 1766 102408
"IPCC First Assessment Report" 35 521 102160
"List of renewable energy organizations" 35 602 102566
"Nature Climate Change" 35 514 102159
"United States House Select Committee on the Climate Crisis" 35 933 102161
"Climate and Clean Air Coalition to Reduce Short-Lived Climate Pollutants" 34 339 100465
"Climate change and infectious diseases" 34 1625 99900
"Climate communication" 34 1525 98653
"Climate Investment Funds" 34 227 99859
"Glasgow Climate Pact" 34 1777 100392
"Index of climate change articles" 34 245 98787
"List of school climate strikes" 34 1593 100805
"Climate change and cities" 33 432 96549
"Climate change education" 33 617 96332
"Climate change in popular culture" 33 285 96591
"Climate change in Vietnam" 33 520 96616
"Climate-friendly gardening" 33 837 97846
"Dendroclimatology" 33 503 95807
"Thornthwaite climate classification" 33 364 97790
"Citizens' Climate Lobby" 32 614 93602
"Climate change art" 32 394 92193
"Climate change in Florida" 32 726 94124
"Climate governance" 32 512 93719
"National Climate Assessment" 32 1280 92205
"Women in climate change" 32 604 92231
"2007 United Nations Climate Change Conference" 31 493 90544
"Climate action" 31 333 89341
"Climate change and indigenous peoples" 31 947 90370
"Climate of Armenia" 31 282 90604
"Climate of Gibraltar" 31 376 90938
"Climate change in Mexico" 30 366 87760
"Climate of Manitoba" 30 133 88282
"Greenhouse Gases Observing Satellite" 30 597 86820
"Land surface effects on climate" 30 281 89106
"Solar Renewable Energy Certificate" 30 520 88545
"Climate change and civilizational collapse" 29 364 85291
"Climate change and invasive species" 29 279 84709
"Climate of Kosovo" 29 700 86109
"Idealized greenhouse model" 29 787 84339
"2013 United Nations Climate Change Conference" 28 1141 80638
"2014 United Nations Climate Change Conference" 28 1376 81801
"2022 in climate change" 28 582 80821
"2023 in climate change" 28 538 82901
"Camp for Climate Action" 28 622 80838
"Carbon dioxide in the atmosphere of Earth" 28 871 82784
"Climate change in Kenya" 28 1388 82427
"Climate change in the Netherlands" 28 585 80562
"List of renewable energy topics by country and territory" 28 696 82229
"Climate change in Norway" 27 272 79750
"Climate Change Levy" 27 1580 79494
"Climate change policy of the George W. Bush administration" 27 254 79205
"Climate of Bilbao" 27 353 78073
"List of extreme temperatures in Denmark" 27 895 79689
"Western Climate Initiative" 27 253 78596
"A Green New Deal" 26 810 76353
"Climate Change – The Facts" 26 781 77237
"Climate change in Argentina" 26 457 74674
"Climate change in Finland" 26 353 77305
"Climate of Wales" 26 288 75198
"Climate: Long range Investigation, Mapping, and Prediction" 26 730 76493
"Psychological impact of climate change" 26 538 75504
"Carbon dioxide reforming" 25 82 72261
"Center for the Study of Carbon Dioxide and Global Change" 25 364 73226
"Climate of Porto" 25 147 72618
"Co-benefits of climate change mitigation" 25 1045 72600
"International Conference on Climate Change" 25 1134 73932
"List of extreme temperatures in Greece" 25 1007 74013
"Renewable Energy (journal)" 25 569 72752
"Climate change in Malaysia" 24 2270 68759
"Climate migration" 24 1167 69473
"Climatic geomorphology" 24 327 70225
"European Climate Foundation" 24 237 71109
"List of climate change books" 24 202 69318
"Urban climate" 24 196 69352
"Climate Action Tracker" 23 6947 67740
"Climate change in Italy" 23 1086 68108
"Climate change in Sri Lanka" 23 335 68327
"Climate inertia" 23 510 66918
"Climate of Cebu" 23 500 66045
"Ed Hawkins (climatologist)" 23 2387 67991
"Effects of climate change on mental health" 23 357 67550
"Global Atmosphere Watch" 23 212 67147
"Chemosphere (journal)" 22 406 64625
"Climate Change Committee" 22 1108 63152
"Climate change in Nepal" 22 147 63967
"Climate change in New York City" 22 246 64556
"Greenhouse gas monitoring" 22 366 64154
"Lists of renewable energy topics" 22 186 63655
"Mandatory renewable energy target" 22 132 63436
"Special Report on Climate Change and Land" 22 443 64442
"Climate change and insurance in the United States" 21 739 59913
"Climate change in Thailand" 21 176 62074
"Climate spiral" 21 1377 61693
"Greenhouse Gas Pollution Pricing Act" 21 614 61342
"List of climate change controversies" 21 503 59991
"List of extreme temperatures in Portugal" 21 1765 61177
"National Initiative on Climate Resilient Agriculture" 21 194 62663
"Presidential Climate Action Plan" 21 297 62606
"Psychology of climate change denial" 21 2403 61118
"Youth Climate Movement" 21 191 61045
"Climate change in Spain" 20 263 58536
"Climate debt" 20 857 59714
"Climate Leadership Council" 20 715 58355
"European Climate Exchange" 20 99 57381
"Space-based measurements of carbon dioxide" 20 226 58773
"Carbon dioxide clathrate" 19 242 54964
"Citizens Convention for Climate" 19 1752 54193
"Climate across Cretaceous–Paleogene boundary" 19 216 54478
"Climate change in Israel" 19 589 54287
"Climate change, industry and society" 19 356 55085
"Climate Disclosure Standards Board" 19 72 54834
"Climatological normal" 19 536 56930
"Effects of climate change on livestock" 19 341 54094
"European Climate Change Programme" 19 249 56555
"German Climate Action Plan 2050" 19 240 54338
"Human rights and climate change" 19 173 56068
"Tropospheric ozone depletion events" 19 252 54823
"United Kingdom Climate Change Programme" 19 645 54937
"APEC Climate Center" 18 253 52102
"Climate and energy" 18 791 52658
"Climate change and birds" 18 489 52406
"Climate change in Greenland" 18 218 51710
"Climate Week NYC" 18 491 51374
"Greenhouse gas emissions by Russia" 18 339 52518
"Humid temperate climate" 18 199 51251
"Journal of Climate" 18 713 51597
"List of ministers of climate change" 18 156 51954
"Task Force on Climate-related Financial Disclosures" 18 180 52095
"Asia-Pacific Partnership on Clean Development and Climate" 17 147 51052
"Climate change in Asia" 17 3366 48767
"Climate change in Ghana" 17 412 49527
"Climate change in Scotland" 17 240 48478
"Climate change in Taiwan" 17 188 49466
"Climate Council" 17 213 48300
"Department of Climate Change, Energy, the Environment and Water" 17 303 48977
"Garnaut Climate Change Review" 17 1945 48708
"Greenhouse gas emissions from wetlands" 17 215 49653
"International Geosphere-Biosphere Programme" 17 126 49139
"Punjab Renewable Energy Systems Pvt. Ltd." 17 210 48600
"White House Office of Energy and Climate Change Policy" 17 594 49258
"2005 United Nations Climate Change Conference" 16 737 45509
"2020 in climate change" 16 226 45829
"Criticism of the IPCC Fourth Assessment Report" 16 350 45310
"East Asia Climate Partnership" 16 129 47610
"European Union climate and energy package" 16 65 48153
"Weyburn-Midale Carbon Dioxide Project" 16 164 47661
"2 degree climate target" 15 189 42554
"2008 United Nations Climate Change Conference" 15 207 42565
"Australian Renewable Energy Agency" 15 145 43035
"Campaign against Climate Change" 15 2034 44758
"Carbon emission label" 15 258 44957
"Climate change and children" 15 411 43666
"Climate change in Iraq" 15 390 43548
"Climate change in Morocco" 15 138 43335
"Climate change in Tanzania" 15 161 43296
"Climate risk insurance" 15 147 44650
"Cloud formation and climate change" 15 1890 45248
"Description of the Medieval Warm Period and Little Ice Age in IPCC reports" 15 102 44440
"Effects of climate change on biomes" 15 177 44581
"Fourth National Climate Assessment" 15 417 44335
"Illustrative model of greenhouse effect on climate change" 15 390 44336
"List of locations and entities by greenhouse gas emissions" 15 277 44445
"List of statements by major scientific organizations about climate change" 15 321 43447
"Palaeogeography, Palaeoclimatology, Palaeoecology" 15 272 42780
"The New Climate War" 15 797 42894
"United States House Select Committee on Energy Independence and Global Warming" 15 305 44528
"Urban climatology" 15 188 44960
"2017 People's Climate March" 14 486 39553
"2019 in climate change" 14 207 39993
"Climate change in Austria" 14 371 42090
"Climate change in Iran" 14 208 39715
"Global Climate Action Summit" 14 596 40617
"Highland temperate climate" 14 111 41189
"The Climate Mobilization" 14 182 40316
"4 Degrees and Beyond International Climate Conference" 13 493 37033
"Carbon dioxide generator" 13 147 37095
"Climate change in Fiji" 13 84 36545
"Climate change in Uganda" 13 3647 39105
"Climate Leadership and Community Protection Act" 13 3632 38356
"Climate of Cameroon" 13 282 39155
"Cool It: The Skeptical Environmentalist's Guide to Global Warming" 13 391 38790
"Global climate regime" 13 140 39276
"Global Environmental Change" 13 141 37409
"Global Warming Pollution Reduction Act of 2007" 13 300 39087
"IPCC Summary for Policymakers" 13 660 36770
"Renewable Energy Certificate System" 13 167 36869
"Total Ozone Mapping Spectrometer" 13 123 36686
"Vatican Climate Forest" 13 98 38939
"2001 United Nations Climate Change Conference" 12 171 33759
"2002 United Nations Climate Change Conference" 12 222 36218
"2014 People's Climate March" 12 188 34399
"Bioclimatology" 12 198 34530
"Carbon Dioxide Information Analysis Center" 12 238 35384
"Carbon Emission Reduction Target" 12 625 35920
"Climate Audit" 12 1738 35757
"Climate change and wildfires" 12 3282 35450
"Climate change in Algeria" 12 201 35237
"Climate change in North Korea" 12 280 34796
"Climate change in the Republic of Ireland" 12 142 35802
"Climate restoration" 12 252 35211
"Climatic Change (journal)" 12 156 35416
"Climatic Research Unit documents" 12 471 36018
"Disability and climate change" 12 118 35240
"Homogenization (climate)" 12 142 34945
"Loss and damage (climate change)" 12 181 33974
"Nongovernmental International Panel on Climate Change" 12 1311 35527
"Recognizing the duty of the Federal Government to create a Green New Deal" 12 164 35355
"Regional climate levels in viticulture" 12 194 36483
"Renewable energy law" 12 708 34045
"Tectonic–climatic interaction" 12 130 34589
"Yale Program on Climate Change Communication" 12 117 36405
"Action for Climate Empowerment" 11 333 31357
"Arctic Climate Impact Assessment" 11 152 32821
"Centre for Renewable Energy Systems Technology" 11 1461 31866
"Climate and Development Knowledge Network" 11 342 32652
"Climate Change and Sustainable Energy Act 2006" 11 472 32472
"Climate Change Authority" 11 822 30836
"Climate Change Denial Disorder" 11 254 31573
"Climate change in Afghanistan" 11 183 32714
"Climate change in Saskatchewan" 11 165 31884
"Climate Dynamics" 11 150 32041
"Climate of Thailand" 11 205 31795
"Climate psychology" 11 724 31984
"Climate Research (journal)" 11 68 30890
"Climate TRACE" 11 1621 31512
"Copenhagen climate summit" 11 228 32420
"Global Historical Climatology Network" 11 119 31284
"Greenhouse Solutions with Sustainable Energy" 11 104 31627
"List of extreme temperatures in Finland" 11 775 32008
"Photoelectrochemical reduction of carbon dioxide" 11 156 32121
"Renewable Energy Payments" 11 484 31138
"Scientific Assessment of Ozone Depletion" 11 160 32292
"Soil-plant-atmosphere continuum" 11 168 33509
"Subhumid temperate climate" 11 357 33490
"White House Office of Domestic Climate Policy" 11 92 31036
"Wuppertal Institute for Climate, Environment and Energy" 11 83 33087
"2006 United Nations Climate Change Conference" 10 178 30381
"2021 Leaders Summit on Climate" 10 234 29138
"American Climate Corps" 10 1671 30387
"Centre for International Climate and Environmental Research" 10 87 28101
"Climate as complex networks" 10 317 30241
"Climate change adaptation strategies on the German coast" 10 115 28140
"Climate change and agriculture in the United States" 10 130 29680
"Climate change in Cambodia" 10 128 28411
"Climate change in Egypt" 10 254 28376
"Climate change in Greece" 10 143 28932
"Climate change in Madagascar" 10 2079 28384
"Climate Justice Now!" 10 325 28528
"Climate of Saint Petersburg" 10 147 29904
"Climate Policy Initiative" 10 202 29926
"Climate risk management" 10 89 29682
"Climate Stewardship Acts" 10 518 28395
"G8 Climate Change Roundtable" 10 162 29397
"Renewable Energy Sources and Climate Change Mitigation" 10 69 29289
"Sea ice thickness" 10 215 29458
"Western Regional Climate Center" 10 686 29539
"Climate change in Belgium" 9 73 26647
"Climate change in Grenada" 9 382 26151
"Climate change in Jordan" 9 143 25933
"Climate change in Poland" 9 103 25010
"Climate change in Senegal" 9 147 26857
"Climate change in Somalia" 9 175 25660
"Climate change in Suriname" 9 175 25709
"Climate commitment" 9 106 26762
"Climate emergency declarations in the United Kingdom" 9 297 26143
"Climate ensemble" 9 149 27218
"Climate Hawks Vote" 9 473 25229
"Climate of Poland" 9 257 25176
"Climate policy of China" 9 203 26266
"Gorgon Carbon Dioxide Injection Project" 9 89 26893
"Greenhouse debt" 9 2226 26197
"Greenhouse Mafia" 9 292 26301
"Indian Network on Climate Change Assessment" 9 190 25930
"Indian Youth Climate Network" 9 204 24908
"Sea ice growth processes" 9 198 25541
"World People's Conference on Climate Change" 9 58 26026
"2004 United Nations Climate Change Conference" 8 162 23568
"2014 UN Climate Summit" 8 128 22991
"Attorney General of Virginia's climate science investigation" 8 430 22835
"California Climate Credit" 8 256 23168
"Climate Alliance" 8 151 22967
"Climate change in Ethiopia" 8 245 22083
"Climate change in Guatemala" 8 67 23058
"Climate change in Liberia" 8 148 23420
"Climate change video game" 8 191 23254
"Climate Commission" 8 619 23389
"Climate of Bangladesh" 8 106 24383
"Climate Vulnerability Monitor" 8 165 24193
"Euro-Mediterranean Center on Climate Change" 8 252 24790
"European Climate, Infrastructure and Environment Executive Agency" 8 78 23995
"European Renewable Energy Council" 8 163 21922
"Evangelical Climate Initiative" 8 642 22099
"Exposing Microorganisms in the Stratosphere" 8 157 24068
"Global Covenant of Mayors for Climate & Energy" 8 385 23304
"Land surface models (climate)" 8 510 22674
"List of abbreviations relating to climate change" 8 248 24107
"List of climate research satellites" 8 199 23900
"List of films about renewable energy" 8 117 24750
"National Renewable Energy Action Plan" 8 120 23686
"Ozone monitoring instrument" 8 439 22483
"Table of historic and prehistoric climate indicators" 8 904 22060
"The Discovery of Global Warming" 8 368 22189
"U.S. Climate Action Partnership" 8 90 23481
"Western Hemisphere Warm Pool" 8 119 23780
"2003 United Nations Climate Change Conference" 7 153 21060
"Carbon dioxide angiography" 7 63 20617
"Carbon neutrality in the United States" 7 155 19084
"Cities for Climate Protection program" 7 114 19223
"Climate change in Azerbaijan" 7 366 20068
"Climate change in Cyprus" 7 98 19453
"Climate change in Honduras" 7 59 21535
"Climate change in Kyrgyzstan" 7 113 20046
"Climate change in Singapore" 7 137 20155
"Climate emergency declarations in Australia" 7 1325 21304
"Climate of Taiwan" 7 142 21606
"Climate reparations" 7 165 21878
"Climate target" 7 116 20221
"Compressed carbon dioxide energy storage" 7 633 21595
"Decarbonisation measures in proposed UK electricity market reform" 7 372 20548
"Decarbonization of shipping" 7 7607 19127
"Extreme weather post-traumatic stress disorder" 7 207 19623
"Global Climate March" 7 207 21318
"International Journal of Climatology" 7 119 19695
"Journal of Applied Meteorology and Climatology" 7 181 21169
"List of climate engineering topics" 7 135 19576
"List of women climate scientists and activists" 7 469 20750
"Mercator Research Institute on Global Commons and Climate Change" 7 70 19975
"New Zealand Climate Science Coalition" 7 227 21661
"Nigeria Renewable Energy Master Plan" 7 113 19666
"People's Climate Movement" 7 98 20603
"Photochemical reduction of carbon dioxide" 7 109 20994
"Renewable energy cooperative" 7 130 21879
"Renewable Energy Directive 2018" 7 66 21840
"The Climate Registry" 7 47 20179
"The Islamic Declaration on Global Climate Change" 7 130 19794
"1998 United Nations Climate Change Conference" 6 66 18130
"Advisory Group on Greenhouse Gases" 6 202 16164
"Avoiding Dangerous Climate Change (2005 conference)" 6 262 17924
"Bangladesh Climate Change Trust" 6 109 18038
"California Climate Executive Orders" 6 81 18663
"Carbon Neutrality Coalition" 6 702 16179
"Centre for Climate Change Economics and Policy" 6 117 18142
"Climate Capitalism" 6 30 18413
"Climate Change (Scotland) Act 2009" 6 132 16443
"Climate change adaptation in the Philippines" 6 109 17375
"Climate change in Botswana" 6 85 16501
"Climate change in Luxembourg" 6 130 17075
"Climate change in Myanmar" 6 696 16618
"Climate change in the Marshall Islands" 6 73 18016
"Climate change in the United Arab Emirates" 6 401 18923
"Climate change in Zimbabwe" 6 113 17250
